"54.647349,-6.747952"
"52.978236,-6.038787"
"54.343861,-7.633197"
"54.0577,-5.99877"
"54.423635,-6.446591"
"54.750814,-5.999819"
"53.97367,-8.300383"
"53.032991,-7.298964"
"52.346839,-8.65417"
"54.257052,-5.944811"
"52.761544,-8.897258"
"54.222996,-9.989089"
"54.2205,-5.8866"
"52.353099,-7.7068"
"52.607471,-9.099685"
"53.192077,-7.990944"
"52.164062,-7.147005"
"55.163904,-6.871463"
"54.864446,-6.284769"
"53.281093,-6.469944"
"52.452409,-9.061489"
"54.37878,-7.31583"
"52.384589,-9.298733"
"53.340138,-7.616688"
"54.595384,-5.915776"
"54.695004,-6.018442"
"54.694832,-6.018397"
"54.694753,-6.018423"
"54.6948,-6.018397"
"54.69481,-6.018397"
"54.693326,-6.01327"
"51.839336,-9.901316"
"54.8087,-7.47446"
"53.7119,-6.3366"
"54.595862,-7.289644"
"54.899439,-5.861231"
"55.00322,-6.35912"
"54.170394,-6.34045"
"54.824472,-7.461848"
"54.9531,-7.733"
"54.836708,-6.683699"
"54.2944,-7.463871"
"52.345534,-7.41366"
"54.252651,-7.442562"
"53.252775,-6.169813"
"54.6344,-6.7506"
"54.919368,-6.915843"
